174     | 154.53.224.166   | 154.48.0.0/12       | US | arin     |            | COGENT-174 - Cogent Communications, US
15169   | 104.155.219.173  | 104.154.0.0/15      | US | arin     | 2014-07-09 | GOOGLE - Google Inc., US
15169   | 130.211.186.109  | 130.211.0.0/16      | US | arin     | 2014-05-12 | GOOGLE - Google Inc., US
15169   | 216.58.216.131   | 216.58.216.0/24     | US | arin     | 2012-01-27 | GOOGLE - Google Inc., US
15169   | 2607:f8b0:400a:806::2001                 | 2607:f8b0:400a::/48 | US | arin     | 2009-03-12 | GOOGLE - Google Inc., US
15169   | 2607:f8b0:400a:806::2003                 | 2607:f8b0:400a::/48 | US | arin     | 2009-03-12 | GOOGLE - Google Inc., US
15169   | 2607:f8b0:400a:806::2004                 | 2607:f8b0:400a::/48 | US | arin     | 2009-03-12 | GOOGLE - Google Inc., US
15169   | 2607:f8b0:400a:806::2009                 | 2607:f8b0:400a::/48 | US | arin     | 2009-03-12 | GOOGLE - Google Inc., US
15169   | 2607:f8b0:400a:806::200d                 | 2607:f8b0:400a::/48 | US | arin     | 2009-03-12 | GOOGLE - Google Inc., US
15169   | 2607:f8b0:400a:807::2003                 | 2607:f8b0:400a::/48 | US | arin     | 2009-03-12 | GOOGLE - Google Inc., US
15169   | 2607:f8b0:400a:807::2009                 | 2607:f8b0:400a::/48 | US | arin     | 2009-03-12 | GOOGLE - Google Inc., US
15169   | 2607:f8b0:400a:809::2003                 | 2607:f8b0:400a::/48 | US | arin     | 2009-03-12 | GOOGLE - Google Inc., US
15169   | 2607:f8b0:400a:809::200e                 | 2607:f8b0:400a::/48 | US | arin     | 2009-03-12 | GOOGLE - Google Inc., US
15169   | 2607:f8b0:400e:c04::79                   | 2607:f8b0:400e::/48 | US | arin     | 2009-03-12 | GOOGLE - Google Inc., US
15169   | 2607:f8b0:400e:c04::a0                   | 2607:f8b0:400e::/48 | US | arin     | 2009-03-12 | GOOGLE - Google Inc., US
16276   | 158.69.224.20    | 158.69.0.0/16       | CA | arin     | 2015-06-15 | OVH , FR
16276   | 178.33.165.129   | 178.32.0.0/15       | FR | ripencc  | 2010-01-19 | OVH , FR
16276   | 178.33.44.27     | 178.32.0.0/15       | FR | ripencc  | 2010-01-19 | OVH , FR
16509   | 176.32.100.45    | 176.32.96.0/21      | IE | ripencc  | 2011-05-23 | AMAZON-02 - Amazon.com, Inc., US
16509   | 176.32.103.85    | 176.32.96.0/21      | IE | ripencc  | 2011-05-23 | AMAZON-02 - Amazon.com, Inc., US
16509   | 178.236.6.242    | 178.236.0.0/20      | IE | ripencc  | 2010-05-25 | AMAZON-02 - Amazon.com, Inc., US
16509   | 178.236.6.247    | 178.236.0.0/20      | IE | ripencc  | 2010-05-25 | AMAZON-02 - Amazon.com, Inc., US
16509   | 178.236.6.251    | 178.236.0.0/20      | IE | ripencc  | 2010-05-25 | AMAZON-02 - Amazon.com, Inc., US
16509   | 178.236.7.146    | 178.236.0.0/20      | IE | ripencc  | 2010-05-25 | AMAZON-02 - Amazon.com, Inc., US
16509   | 52.11.148.238    | 52.10.0.0/15        | US | arin     |            | AMAZON-02 - Amazon.com, Inc., US
16509   | 52.18.48.183     | 52.18.0.0/15        | US | arin     |            | AMAZON-02 - Amazon.com, Inc., US
16509   | 52.8.106.50      | 52.8.0.0/16         | US | arin     |            | AMAZON-02 - Amazon.com, Inc., US
16509   | 52.84.18.95      | 52.84.16.0/21       | US | arin     |            | AMAZON-02 - Amazon.com, Inc., US
16509   | 52.84.22.190     | 52.84.16.0/21       | US | arin     |            | AMAZON-02 - Amazon.com, Inc., US
16509   | 52.84.22.89      | 52.84.16.0/21       | US | arin     |            | AMAZON-02 - Amazon.com, Inc., US
16509   | 52.84.22.97      | 52.84.16.0/21       | US | arin     |            | AMAZON-02 - Amazon.com, Inc., US
16509   | 52.84.24.125     | 52.84.24.0/23       | US | arin     |            | AMAZON-02 - Amazon.com, Inc., US
16509   | 52.84.24.247     | 52.84.24.0/23       | US | arin     |            | AMAZON-02 - Amazon.com, Inc., US
16509   | 54.191.144.60    | 54.191.0.0/16       | US | arin     | 2013-11-25 | AMAZON-02 - Amazon.com, Inc., US
16509   | 54.203.254.104   | 54.202.0.0/15       | US | arin     | 2013-06-19 | AMAZON-02 - Amazon.com, Inc., US
16509   | 54.239.17.7      | 54.239.16.0/20      | US | arin     | 2012-03-01 | AMAZON-02 - Amazon.com, Inc., US
16509   | 54.239.29.45     | 54.239.16.0/20      | US | arin     | 2012-03-01 | AMAZON-02 - Amazon.com, Inc., US
16509   | 54.239.31.69     | 54.239.16.0/20      | US | arin     | 2012-03-01 | AMAZON-02 - Amazon.com, Inc., US
16509   | 54.239.32.138    | 54.239.32.0/24      | US | arin     | 2012-03-01 | AMAZON-02 - Amazon.com, Inc., US
16509   | 54.239.34.40     | 54.239.34.0/24      | US | arin     | 2012-03-01 | AMAZON-02 - Amazon.com, Inc., US
16509   | 54.240.248.0     | 54.240.248.0/21     | US | arin     | 2011-12-09 | AMAZON-02 - Amazon.com, Inc., US
16509   | 54.65.23.248     | 54.64.0.0/15        | US | arin     | 2014-06-20 | AMAZON-02 - Amazon.com, Inc., US
16509   | 54.69.214.51     | 54.68.0.0/15        | US | arin     | 2014-06-20 | AMAZON-02 - Amazon.com, Inc., US
16509   | 54.76.79.167     | 54.76.0.0/15        | US | arin     | 2013-11-25 | AMAZON-02 - Amazon.com, Inc., US
16625   | 104.109.142.145  | 104.109.142.0/23    | US | arin     | 2014-04-22 | AKAMAI-AS - Akamai Technologies, Inc., US
16625   | 104.109.210.228  | 104.109.208.0/20    | US | arin     | 2014-04-22 | AKAMAI-AS - Akamai Technologies, Inc., US
16625   | 104.109.214.186  | 104.109.208.0/20    | US | arin     | 2014-04-22 | AKAMAI-AS - Akamai Technologies, Inc., US
16798   | 66.235.122.109   | 66.235.120.0/21     | US | arin     | 2007-07-20 | IAC-SEARCH-MEDIA - IAC Search & Media Inc, US
17233   | 24.105.29.40     | 24.105.29.0/24      | US | arin     | 2015-02-25 | ATT-CERFNET-BLOCK - AT&T Enhanced Network Services, US
17451   | 182.253.224.188  | 182.253.224.0/24    | ID | apnic    | 2010-05-10 | BIZNET-AS-AP BIZNET NETWORKS, ID
17451   | 182.253.238.102  | 182.253.238.0/24    | ID | apnic    | 2010-05-10 | BIZNET-AS-AP BIZNET NETWORKS, ID
17707   | 125.6.146.14     | 125.6.128.0/18      | JP | apnic    | 2005-08-04 | DATAHOTEL-JP AS for DATAHOTEL, which is one of iDC in Japan, JP
17707   | 125.6.149.67     | 125.6.128.0/18      | JP | apnic    | 2005-08-04 | DATAHOTEL-JP AS for DATAHOTEL, which is one of iDC in Japan, JP
17964   | 123.196.118.86   | 123.196.112.0/20    | CN | apnic    | 2006-12-07 | DXTNET Beijing Dian-Xin-Tong Network Technologies Co., Ltd., CN
18182   | 219.85.79.131    | 219.85.64.0/18      | TW | apnic    | 2003-11-25 | SONET-TW Sony Network Taiwan Limited, TW
18365   | 202.146.4.100    | 202.146.4.0/24      | ID | apnic    | 2003-01-27 | GRAMEDIA-ID GRAMEDIA, PT., ID
18450   | 107.182.165.170  | 107.182.160.0/20    | US | arin     | 2014-02-21 | WEBNX - WebNX, Inc., US
18888   | 192.211.12.20    | 192.211.12.0/23     | US | arin     | 2013-02-06 | AS-ZILLOW - ZILLOW, INC., US
19551   | 192.230.67.63    | 192.230.67.0/24     | US | arin     | 2013-05-08 | INCAPSULA - Incapsula Inc, US
19679   | 108.160.172.206  | 108.160.172.0/24    | US | arin     | 2011-10-12 | DROPBOX - Dropbox, Inc., US
19994   | 161.47.7.14      | 161.47.0.0/18       | US | arin     | 2015-09-11 | RACKSPACE - Rackspace Hosting, US
20940   | 184.27.178.160   | 184.27.178.0/23     | US | arin     | 2010-10-11 | AKAMAI-ASN1 , US
20940   | 23.7.245.74      | 23.7.245.0/24       | US | arin     | 2010-12-17 | AKAMAI-ASN1 , US
20940   | 2600:1406:3:282::1b81                    | 2600:1406:3::/48    | US | arin     | 2010-04-21 | AKAMAI-ASN1 , US
20940   | 2600:1406:3:282::2af2                    | 2600:1406:3::/48    | US | arin     | 2010-04-21 | AKAMAI-ASN1 , US
20940   | 2600:1406:3:283::b1f                     | 2600:1406:3::/48    | US | arin     | 2010-04-21 | AKAMAI-ASN1 , US
20940   | 2600:1406:3:286::2db1                    | 2600:1406:3::/48    | US | arin     | 2010-04-21 | AKAMAI-ASN1 , US
20940   | 2600:1406:3:286::69d                     | 2600:1406:3::/48    | US | arin     | 2010-04-21 | AKAMAI-ASN1 , US
20940   | 2600:1406:3:288::2d3e                    | 2600:1406:3::/48    | US | arin     | 2010-04-21 | AKAMAI-ASN1 , US
20940   | 2600:1406:3:289::1bf2                    | 2600:1406:3::/48    | US | arin     | 2010-04-21 | AKAMAI-ASN1 , US
20940   | 2600:1406:3:385::d80                     | 2600:1406:3::/48    | US | arin     | 2010-04-21 | AKAMAI-ASN1 , US
20940   | 2600:1406:3:38c::1aca                    | 2600:1406:3::/48    | US | arin     | 2010-04-21 | AKAMAI-ASN1 , US
20940   | 2600:1406:3::b81c:bc91                   | 2600:1406:3::/48    | US | arin     | 2010-04-21 | AKAMAI-ASN1 , US
22414   | 208.82.238.226   | 208.82.236.0/22     | US | arin     | 2007-09-26 | CRAIGS-NET-1 - Craigslist, Inc., US
22697   | 8.42.96.42       | 8.42.96.0/24        | US | arin     |            | ROBLOX - Roblox, US
22822   | 69.164.14.141    | 69.164.0.0/18       | US | arin     | 2009-02-13 | LLNW - Limelight Networks, Inc., US
23724   | 106.120.160.134  | 106.120.160.0/19    | CN | apnic    | 2011-04-12 | CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
23724   | 118.186.65.161   | 118.186.64.0/21     | CN | apnic    | 2007-10-19 | CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
23724   | 118.26.205.30    | 118.26.200.0/21     | CN | apnic    | 2007-08-03 | CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
23724   | 124.243.228.11   | 124.243.192.0/18    | CN | apnic    | 2006-05-19 | CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
23724   | 42.62.1.150      | 42.62.0.0/21        | CN | apnic    | 2011-03-10 | CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
23946   | 202.80.220.213   | 202.80.220.0/24     | ID | apnic    | 2003-10-10 | TOPNET-AS-ID PT Dunia Informasi Teknologi (TOPNET), ID
24151   | 2001:dc7:dd01:0:218:241:97:42            | 2001:dc7::/32       | CN | apnic    | 2004-09-13 | CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
24211   | 203.190.242.69   | 203.190.242.0/23    | ID | apnic    | 2005-09-01 | DETIK-AS-ID PT. Detik Ini JUga, ID
24284   | 180.233.137.163  | 180.233.137.0/24    | JP | apnic    | 2009-10-28 | CYBERAGENT CyberAgent, Inc., JP
24284   | 27.133.208.13    | 27.133.208.0/20     | JP | apnic    | 2010-04-21 | CYBERAGENT CyberAgent, Inc., JP
24413   | 202.46.41.174    | 202.46.40.0/21      | CN | apnic    | 2005-07-05 | CNNIC-SUNRISE-AP ShenZhen Sunrise Technology Co.,Ltd., CN
24572   | 183.79.227.90    | 183.79.0.0/16       | JP | apnic    | 2009-11-06 | YAHOO-JP-AS-AP Yahoo Japan, JP
24638   | 81.19.82.2       | 81.19.64.0/19       | RU | ripencc  | 2005-06-29 | RAMBLER-TELECOM-AS , RU
24940   | 148.251.77.209   | 148.251.0.0/16      | DE | ripencc  |            | HETZNER-AS , DE
25184   | 79.175.144.37    | 79.175.144.0/24     | IR | ripencc  | 2007-11-12 | AFRANET AFRANET Co. Tehran, Iran, IR
25786   | 216.52.208.160   | 216.52.208.0/24     | US | arin     |            | -Reserved AS-, ZZ
26201   | 208.185.127.122  | 208.185.127.0/24    | US | arin     |            | ABOUT-COM - ABOUT, INC., US
26496   | 208.109.4.222    | 208.109.4.0/23      | US | arin     | 2006-04-12 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
26941   | 162.212.41.11    | 162.212.41.0/24     | US | arin     | 2013-05-15 | SHUTTERSTOCK - Shutterstock Inc, US
27257   | 198.134.112.232  | 198.134.112.0/20    | US | arin     | 2012-07-11 | WEBAIR-INTERNET - Webair Internet Development Company Inc., US
27647   | 74.115.50.110    | 74.115.50.0/24      | US | arin     | 2009-06-23 | WEEBLY - Weebly, Inc., US
28604   | 2804:294:4000:8000::5                    | 2804:294:4000::/40  | BR | lacnic   | 2010-10-29 | Globo Comunicação e Participaçoes SA, BR
29302   | 146.185.29.109   | 146.185.16.0/20     | GB | ripencc  | 2011-07-12 | HSI-EUROPE , GB
29789   | 216.18.168.1     | 216.18.168.0/24     | US | arin     | 2009-08-31 | REFLECTED - Reflected Networks, Inc., US
30361   | 216.18.168.1     | 216.18.168.0/24     | US | arin     | 2009-08-31 | SWIFTWILL2 - Swiftwill, Inc., US
30361   | 31.192.112.104   | 31.192.112.0/20     | NL | ripencc  | 2011-04-21 | SWIFTWILL2 - Swiftwill, Inc., US
30361   | 31.192.116.24    | 31.192.112.0/20     | NL | ripencc  | 2011-04-21 | SWIFTWILL2 - Swiftwill, Inc., US
30361   | 31.192.117.132   | 31.192.112.0/20     | NL | ripencc  | 2011-04-21 | SWIFTWILL2 - Swiftwill, Inc., US
30361   | 64.210.135.134   | 64.210.135.0/24     | US | arin     | 2005-11-08 | SWIFTWILL2 - Swiftwill, Inc., US
30633   | 207.244.80.166   | 207.244.64.0/18     | US | arin     |            | LEASEWEB-USA-WDC-01 - Leaseweb USA, Inc., US
30633   | 207.244.90.212   | 207.244.64.0/18     | US | arin     |            | LEASEWEB-USA-WDC-01 - Leaseweb USA, Inc., US
31549   | 94.182.163.4     | 94.182.163.0/24     | IR | ripencc  | 2008-09-17 | RASANA , IR
31621   | 185.31.26.43     | 185.31.24.0/22      | PL | ripencc  | 2013-07-19 | QXL-NET-POLAND-AS , PL
31815   | 205.186.187.178  | 205.186.176.0/20    | US | arin     | 2009-08-12 | MEDIATEMPLE - Media Temple, Inc., US
32934   | 2a03:2880:11:1f83:face:b00c:0:25de       | 2a03:2880::/36      | IE | ripencc  | 2011-08-22 | FACEBOOK - Facebook, Inc., US
32934   | 2a03:2880:11:1fc2:face:b00c:0:43fe       | 2a03:2880::/36      | IE | ripencc  | 2011-08-22 | FACEBOOK - Facebook, Inc., US
32934   | 2a03:2880:f001:6:face:b00c:0:2           | 2a03:2880:f001::/48 | IE | ripencc  | 2011-08-22 | FACEBOOK - Facebook, Inc., US
33011   | 74.112.184.85    | 74.112.184.0/24     | US | arin     | 2011-03-22 | BOXNET - Box.com, US
33047   | 192.33.31.51     | 192.33.31.0/24      | US | arin     | 2012-11-12 | INSTART - Instart Logic, Inc, US
33047   | 192.33.31.66     | 192.33.31.0/24      | US | arin     | 2012-11-12 | INSTART - Instart Logic, Inc, US
33612   | 66.6.43.30       | 66.6.43.0/24        | US | arin     | 2011-04-25 | TUMBLR - TUMBLR, INC., US
34587   | 5.226.176.16     | 5.226.176.0/24      | GB | ripencc  | 2012-09-11 | HLM2-AS , GB
35237   | 194.54.14.159    | 194.54.14.0/24      | RU | ripencc  | 2007-12-27 | SBERBANK , RU
35415   | 78.140.156.203   | 78.140.128.0/18     | NL | ripencc  | 2007-06-29 | WEBZILLA , NL
35415   | 78.140.188.189   | 78.140.184.0/21     | NL | ripencc  | 2007-06-29 | WEBZILLA , NL
36175   | 66.43.22.170     | 66.43.20.0/22       | US | arin     | 2003-01-14 | MYFAM-DC1 - Myfamily.com, Inc., US
36351   | 169.54.26.169    | 169.54.0.0/18       | US | ripencc  |            | SOFTLAYER - SoftLayer Technologies Inc., US
36351   | 173.192.117.80   | 173.192.64.0/18     | US | arin     | 2009-07-21 | SOFTLAYER - SoftLayer Technologies Inc., US
36351   | 192.155.212.202  | 192.155.208.0/20    | US | arin     | 2013-01-16 | SOFTLAYER - SoftLayer Technologies Inc., US
36351   | 50.97.195.27     | 50.97.192.0/18      | US | arin     | 2011-04-18 | SOFTLAYER - SoftLayer Technologies Inc., US
36351   | 75.126.39.117    | 75.126.32.0/20      | US | arin     | 2006-05-12 | SOFTLAYER - SoftLayer Technologies Inc., US
36408   | 174.35.52.174    | 174.35.52.0/24      | US | arin     | 2008-10-24 | CDNETWORKSUS-02 - CDNetworks Inc., US
36408   | 174.35.53.3      | 174.35.53.0/24      | US | arin     | 2008-10-24 | CDNETWORKSUS-02 - CDNetworks Inc., US
36459   | 192.30.253.112   | 192.30.253.0/24     | US | arin     | 2012-11-15 | GITHUB - GitHub, Inc., US
36647   | 2001:4998:c:a06::2:4008                  | 2001:4998:c::/46    | US | arin     | 2005-10-27 | YAHOO-GQ1 - Yahoo, US
36647   | 208.71.44.31     | 208.71.40.0/21      | US | arin     | 2006-10-09 | YAHOO-GQ1 - Yahoo, US
37963   | 101.201.172.229  | 101.200.0.0/15      | CN | apnic    | 2011-01-24 | CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
37963   | 110.76.18.156    | 110.76.0.0/19       | CN | apnic    | 2009-03-31 | CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
37963   | 140.205.230.45   | 140.205.192.0/18    | CN | apnic    | 2011-03-11 | CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
38043   | 203.209.152.96   | 203.209.144.0/20    | JP | apnic    | 2006-05-31 | SRI-AS-AP Sophia Reserch Institute, Ltd., JP
38361   | 118.67.112.71    | 118.67.112.0/23     | CN | apnic    | 2007-08-16 | CNNIC-CNET-AP CNET Networks LTD., CN
38631   | 119.235.235.13   | 119.235.235.0/24    | JP | apnic    | 2008-03-11 | LINE LINE Corporation, JP
38895   | 52.74.159.178    | 52.74.0.0/16        | US | arin     |            | AMAZON-AS-AP Amazon.com Tech Telecom, JP
38895   | 52.76.225.141    | 52.76.128.0/17      | US | arin     |            | AMAZON-AS-AP Amazon.com Tech Telecom, JP
39572   | 2a02:b48:4000:d::1                       | 2a02:b48::/32       | NL | ripencc  | 2009-03-12 | ADVANCEDHOSTERS-AS , NL
40428   | 2620:106:e003:f00e::63                   | 2620:106:e003::/48  | US | arin     | 2011-09-06 | PANDORA-EQX-SJL - Pandora Media, Inc, US
40824   | 199.101.134.236  | 199.101.132.0/22    | US | arin     | 2011-02-25 | WZCOM-US - WZ Communications Inc., US
40833   | 170.149.159.130  | 170.149.159.0/24    | US | arin     |            | NYTD-SEA1 - The New York Times Company, US
41552   | 2a04:cb41:a516:4::11                     | 2a04:cb40::/29      | NL | ripencc  | 2014-04-07 | MARKTPLAATS-AS , NL
41690   | 195.8.215.136    | 195.8.214.0/23      | FR | ripencc  | 2006-10-09 | DAILYMOTION For peering related business, please mail peering@dailymotion.com, FR
42656   | 5.134.209.108    | 5.134.208.0/21      | PL | ripencc  | 2012-07-11 | QXL-POLAND , PL
42926   | 176.53.43.2      | 176.53.43.0/24      | TR | ripencc  | 2011-05-26 | RADORE , TR
43037   | 2a02:598:a::79:39                        | 2a02:598:a::/48     | CZ | ripencc  | 2008-07-04 | SEZNAM-CZ , CZ
43650   | 194.68.30.98     | 194.68.28.0/22      | SE | ripencc  |            | SPOTIFY , BG
43996   | 185.28.222.11    | 185.28.222.0/24     | NL | ripencc  | 2013-06-18 | BOOKING-BV Booking.com, NL
45102   | 205.204.101.42   | 205.204.101.0/24    | US | arin     | 2010-11-17 | CNNIC-ALIBABA-CN-NET-AP Alibaba (China) Technology Co., Ltd., CN
45596   | 103.252.142.21   | 103.252.142.0/24    | IN | apnic    | 2013-10-30 | CRIS-ND-21-IN Centre For Railway Information Systems, IN
46179   | 205.196.120.6    | 205.196.120.0/22    | US | arin     | 2008-10-10 | MEDIAFIRE - MediaFire, LLC, US
46652   | 141.0.173.90     | 141.0.172.0/22      | NL | ripencc  | 2011-06-21 | SERVERSTACK-ASN - ServerStack, Inc., US
46652   | 141.0.174.38     | 141.0.172.0/22      | NL | ripencc  | 2011-06-21 | SERVERSTACK-ASN - ServerStack, Inc., US
46652   | 141.0.174.41     | 141.0.172.0/22      | NL | ripencc  | 2011-06-21 | SERVERSTACK-ASN - ServerStack, Inc., US
47105   | 2a02:4680:22::214                        | 2a02:4680:22::/48   | RU | ripencc  | 2011-07-13 | DREAMTORRENT-CORP-AS , RU
47541   | 2a00:bdc0:2:18:2:0:217:44                | 2a00:bdc0::/36      | RU | ripencc  | 2012-03-14 | VKONTAKTE-SPB-AS , RU
47764   | 217.20.155.58    | 217.20.144.0/20     | RU | ripencc  | 2010-08-30 | MAILRU-AS Mail.Ru, RU
47764   | 217.69.139.201   | 217.69.128.0/20     | RU | ripencc  | 2009-03-20 | MAILRU-AS Mail.Ru, RU
49063   | 92.242.43.212    | 92.242.43.0/24      | RU | ripencc  | 2007-12-27 | DTLN , RU
49763   | 193.164.196.82   | 193.164.196.0/24    | FR | ripencc  | 2009-08-20 | EAM-AS , FR
50144   | 109.71.161.161   | 109.71.161.0/24     | PT | ripencc  | 2009-11-23 | DDITS-AS , LU
50974   | 91.216.63.241    | 91.216.63.0/24      | ES | ripencc  | 2010-05-03 | EDICIONES-EL-PAIS-AS , ES
51773   | 46.28.209.1      | 46.28.208.0/22      | ES | ripencc  | 2010-07-26 | SOFTONIC-AS , ES
53334   | 216.21.13.13     | 216.21.13.0/24      | US | arin     | 2015-05-21 | TUT-AS - Total Uptime Technologies, LLC, US
53387   | 209.225.49.78    | 209.225.49.0/24     | US | arin     | 2000-05-24 | MELI-ASN-1 - MercadoLibre Inc., US
53387   | 209.225.49.79    | 209.225.49.0/24     | US | arin     | 2000-05-24 | MELI-ASN-1 - MercadoLibre Inc., US
53635   | 204.154.94.73    | 204.154.94.0/23     | US | arin     | 2010-10-25 | EVERNOTE-US - Evernote Corporation., US
54113   | 104.156.81.194   | 104.156.81.0/24     | US | arin     | 2014-07-21 | FASTLY - Fastly, US
54113   | 151.101.129.69   | 151.101.128.0/22    | US | arin     | 2016-02-01 | FASTLY - Fastly, US
54113   | 151.101.1.69     | 151.101.0.0/22      | US | arin     | 2016-02-01 | FASTLY - Fastly, US
54113   | 151.101.24.133   | 151.101.24.0/22     | US | arin     | 2016-02-01 | FASTLY - Fastly, US
54113   | 151.101.24.73    | 151.101.24.0/22     | US | arin     | 2016-02-01 | FASTLY - Fastly, US
54113   | 151.101.24.81    | 151.101.24.0/22     | US | arin     | 2016-02-01 | FASTLY - Fastly, US
54113   | 151.101.25.52    | 151.101.24.0/22     | US | arin     | 2016-02-01 | FASTLY - Fastly, US
54113   | 151.101.52.175   | 151.101.52.0/22     | US | arin     | 2016-02-01 | FASTLY - Fastly, US
54113   | 151.101.52.249   | 151.101.52.0/22     | US | arin     | 2016-02-01 | FASTLY - Fastly, US
54113   | 151.101.52.64    | 151.101.52.0/22     | US | arin     | 2016-02-01 | FASTLY - Fastly, US
54113   | 151.101.52.67    | 151.101.52.0/22     | US | arin     | 2016-02-01 | FASTLY - Fastly, US
54113   | 151.101.52.68    | 151.101.52.0/22     | US | arin     | 2016-02-01 | FASTLY - Fastly, US
54113   | 151.101.52.84    | 151.101.52.0/22     | US | arin     | 2016-02-01 | FASTLY - Fastly, US
54113   | 151.101.53.7     | 151.101.52.0/22     | US | arin     | 2016-02-01 | FASTLY - Fastly, US
54113   | 157.52.65.34     | 157.52.64.0/23      | US | arin     | 2015-04-02 | FASTLY - Fastly, US
54113   | 172.111.97.34    | 172.111.96.0/23     | US | arin     | 2015-07-01 | FASTLY - Fastly, US
54113   | 199.27.79.193    | 199.27.79.0/24      | US | arin     | 2011-10-17 | FASTLY - Fastly, US
54113   | 23.235.37.217    | 23.235.37.0/24      | US | arin     | 2013-10-01 | FASTLY - Fastly, US
54113   | 23.235.47.175    | 23.235.47.0/24      | US | arin     | 2013-10-01 | FASTLY - Fastly, US
54994   | 203.130.54.225   | 203.130.54.0/24     | CN | apnic    | 2005-03-16 | QUANTIL - QUANTIL, INC, US
54994   | 220.243.234.20   | 220.243.234.0/24    | CN | apnic    | 2006-08-25 | QUANTIL - QUANTIL, INC, US
54994   | 220.243.235.201  | 220.243.235.0/24    | CN | apnic    | 2006-08-25 | QUANTIL - QUANTIL, INC, US
54994   | 220.243.236.181  | 220.243.236.0/24    | CN | apnic    | 2006-08-25 | QUANTIL - QUANTIL, INC, US
55355   | 175.100.207.205  | 175.100.207.0/24    | HK | apnic    | 2009-12-30 | ISP-AS-AP ISP, HK
55355   | 203.90.249.162   | 203.90.249.0/24     | HK | apnic    |            | ISP-AS-AP ISP, HK
55967   | 103.235.46.234   | 103.235.46.0/24     | HK | apnic    | 2014-07-02 | CNNIC-BAIDU-AP Beijing Baidu Netcom Science and Technology Co., Ltd., CN
57976   | 24.105.29.40     | 24.105.29.0/24      | US | arin     | 2015-02-25 | BLIZZEU-AS , EU
58431   | 5.226.176.16     | 5.226.176.0/24      | GB | ripencc  | 2012-09-11 | HILLSIDE-NEW-MEDIA-AU C/O ADDISONS, Commercial Lawyers, AU
58461   | 115.239.211.112  | 115.239.208.0/20    | CN | apnic    | 2008-09-03 | CT-HANGZHOU-IDC No.288,Fu-chun Road, CN
58543   | 121.12.110.13    | 121.12.104.0/21     | CN | apnic    | 2006-05-18 | CHINATELECOM-GUANGDONG-IDC Guangdong, CN
58543   | 121.12.89.173    | 121.12.88.0/22      | CN | apnic    | 2006-05-18 | CHINATELECOM-GUANGDONG-IDC Guangdong, CN
59050   | 54.222.60.218    | 54.222.60.0/22      | CN | apnic    |            | CLOUD-ARK Beijing Cloud-Ark Technology Co.,Ltd., CN
61157   | 62.138.116.25    | 62.138.116.0/24     | DE | ripencc  | 2000-09-19 | TGOS-ASN1 , DE
62041   | 2001:67c:4e8:fa60:3:0:811:139            | 2001:67c:4e8::/48   | NL | ripencc  | 2014-03-27 | TELEGRAM , GB
62787   | 199.181.131.249  | 199.181.131.0/24    | US | arin     |            | ASN-DINETSYS - Disney Interactive, US
63541   | 106.48.13.33     | 106.48.13.0/24      | CN | apnic    | 2011-03-22 | CHINACACHE Beijing Blue I.T Technologies Co.,Ltd., CN
63541   | 106.48.13.34     | 106.48.13.0/24      | CN | apnic    | 2011-03-22 | CHINACACHE Beijing Blue I.T Technologies Co.,Ltd., CN
63541   | 106.48.13.50     | 106.48.13.0/24      | CN | apnic    | 2011-03-22 | CHINACACHE Beijing Blue I.T Technologies Co.,Ltd., CN
63541   | 106.48.13.72     | 106.48.13.0/24      | CN | apnic    | 2011-03-22 | CHINACACHE Beijing Blue I.T Technologies Co.,Ltd., CN
132164  | 103.6.117.3      | 103.6.117.0/24      | ID | apnic    | 2012-02-27 | KASKUSNETWORKS-AS PT Darta Media Indonesia, ID
133530  | 104.192.140.171  | 104.192.140.0/23    | US | arin     | 2014-09-09 | ATLASSIANPTY-AS-AP ATLASSIAN PTY LTD, AU
197143  | 46.245.163.1     | 46.245.163.0/24     | TR | ripencc  | 2011-02-02 | NETCEN , TR
201012  | 185.89.12.132    | 185.89.12.0/24      | RU | ripencc  | 2015-02-20 | AVITO , RU
